Company_Brand,HeadQuarter,Sector,Amount,Funding Year
Kriger Campus,Delhi,Other,438000,2018
Pipa+Bella,Mumbai,E-Commerce and Retail,1000000,2018
Kaleidofin,Chennai,Banking and Financial Services,2800000,2018
Chakr Innovation,Delhi,Energy,0,2018
Indigolearn,Hyderabad,Education,150000,2018
Uclean,Unknown,Other,584000,2018
Coutloot,Mumbai,E-Commerce and Retail,1000000,2018
Letstrack,Delhi,Information Technology (IT),1700000,2018
Pooltoo,Delhi,Transportation and Tourism,0,2018
Finzy,Bengaluru,Banking and Financial Services,1300000,2018
Fitternity,Mumbai,Healthcare and Fitness,2000000,2018
Keito,Pune,Information Technology (IT),0,2018
Tolet For Students,Jodhpur,Events and Hospitality,73000,2018
Chai Kings,Chennai,Agriculture and Food Production,292000,2018
Dainik Jagran,Kanpur,Other,584000,2018
Playtoome,Bengaluru,Media and Entertainment,292000,2018
Ongo Framework,Hyderabad,E-Commerce and Retail,1000000,2018
Notesgen,Delhi,Education,182500,2018
Arogya Medtech,Kolkata,Healthcare and Fitness,219000,2018
Propshop24,Mumbai,E-Commerce and Retail,500000,2018
Myupchar,Delhi,Healthcare and Fitness,5000000,2018
Missmalini Entertainment,Mumbai,Other,1518400,2018
Rooter,Unknown,Healthcare and Fitness,657000,2018
Zestmoney,Bengaluru,Other,13400000,2018
Alphaics Corporation,Bengaluru,Information Technology (IT),0,2018
Mydentistchoice,Hyderabad,Healthcare and Fitness,500000,2018
Sattviko,Delhi,Agriculture and Food Production,0,2018
Sensibull,Bengaluru,E-Commerce and Retail,365000,2018
Bombay Shaving Company,Delhi,E-Commerce and Retail,0,2018
Medcords,Pune,Healthcare and Fitness,385440,2018
University Living,Delhi,Other,0,2018
&Me,Bengaluru,Agriculture and Food Production,0,2018
Enakshi,Ahmedabad,Fashion and Beauty,116800,2018
Ultraviolette Automotive,Bengaluru,Manufacturing,876,2018
Inthree Access,Chennai,Career and Personal Development,4000000,2018
Bugworks Research India,Bengaluru,Information Technology (IT),9000000,2018
Guardian.In,Mumbai,Healthcare and Fitness,0,2018
Prestloans,Delhi,Banking and Financial Services,100000,2018
Wimoxez,Hyderabad,Information Technology (IT),20000,2018
India Accelerator,Gurgaon,Social Development,0,2018
Happyemi,Bengaluru,E-Commerce and Retail,1000000,2018
Wishup,Azadpur,Information Technology (IT),0,2018
Hansel.Io,Bengaluru,Information Technology (IT),4000000,2018
Propelld,Bengaluru,Other,250000,2018
Pivotroots,Mumbai,Media and Entertainment,0,2018
Ziffyhomes,Delhi,E-Commerce and Retail,120000,2018
Carmesi,Gurgaon,Healthcare and Fitness,496400,2018
Ockypocky,Haryana,Education,0,2018
Racetrack,Bengaluru,Information Technology (IT),4993200,2018
Whr,Pune,Healthcare and Fitness,143145,2018
Asteria Aerospace,Bengaluru,Transportation and Tourism,0,2018
Faballey,Noida,E-Commerce and Retail,8760000,2018
Tranzmeo,Cochin,Information Technology (IT),0,2018
Sbi Life,Mumbai,Banking and Financial Services,742000000,2018
Studds Accessories,Faridabad,E-Commerce and Retail,14600000,2018
Design Cafe,Bengaluru,Career and Personal Development,29200000,2018
Nopaperforms Solutions Pvt. Ltd.,Delhi,Education,3980000,2018
Rays Power Infra,Jaipur,Other,29200000,2018
Authmetrik,Gurgaon,E-Commerce and Retail,10000,2018
Khidki,Bengaluru,Information Technology (IT),0,2018
Letstransport,Bengaluru,Transportation and Tourism,14600000,2018
Next Digital Solutions,Kota,Media and Entertainment,1460,2018
Portea Medical,Bengaluru,Healthcare and Fitness,3650000,2018
Aavas Financiers,Jaipur,Banking and Financial Services,29200000,2018
Swiggy,Bengaluru,Agriculture and Food Production,1000000000,2018
Milkbasket,Haryana,E-Commerce and Retail,7000000,2018
Nutrisattva (Proliva),Anand,Healthcare and Fitness,0,2018
Toppr,Mumbai,Education,35000000,2018
Jagaran Microfin,Kolkata,Other,8030000,2018
Vivriti Capital,Chennai,Banking and Financial Services,28500000,2018
Be U Salons,Delhi,Information Technology (IT),438000,2018
Impact Guru,Mumbai,Career and Personal Development,2000000,2018
Mobikwik,Gurgaon,Banking and Financial Services,3504000,2018
Stones2Milestones,Gurgaon,Education,0,2018
Generico,Mumbai,Healthcare and Fitness,0,2018
Adiuvo Diagnostics,Chennai,Healthcare and Fitness,0,2018
Datatrained,Bengaluru,Education,1752000,2018
Oneassist,Mumbai,Banking and Financial Services,2400000,2018
Satin Creditcare Network Limited (Scnl),Delhi,Banking and Financial Services,30000000,2018
Apac Financial Services,Mumbai,Banking and Financial Services,36500000,2018
Moglix,Noida,E-Commerce and Retail,23000000,2018
Sedemac Mechatronics,Mumbai,Manufacturing,0,2018
Madguy Labs,Hyderabad,Education,150000,2018
Dee Dee Labs,Pune,Information Technology (IT),0,2018
Fleeca,Jaipur,Other,0,2018
Shop101,Mumbai,Information Technology (IT),11000000,2018
Feedmypockets,Bengaluru,Media and Entertainment,642400,2018
Housejoy,Bengaluru,Fashion and Beauty,3240000,2018
Ambee,Bengaluru,Healthcare and Fitness,0,2018
Foodbuddy,Belgaum,Agriculture and Food Production,876000,2018
Ninjacart,Bengaluru,Other,36500000,2018
Olly Smart Credit Card,Delhi,Banking and Financial Services,0,2018
Zestl,Pune,Information Technology (IT),0,2018
Byju’S,Bengaluru,Education,540000000,2018
Wakefit,Bengaluru,Other,9490000,2018
Hero Electric,Delhi,Other,23360000,2018
Pentation Analytics,Mumbai,Information Technology (IT),0,2018
Perkfinance,Bengaluru,Banking and Financial Services,900000,2018
Roposo,Gurgaon,Information Technology (IT),10000000,2018
Plum Goodness,Thane,Fashion and Beauty,0,2018
Drstore,Mumbai,Healthcare and Fitness,0,2018
Wow Venue,Mumbai,Events and Hospitality,1500000,2018
Chizel,Pune,Information Technology (IT),0,2018
Oto Capital,Mumbai,Manufacturing,730000,2018
Boodmo,Gurgaon,Manufacturing,1022000,2018
Khabri,Haryana,Information Technology (IT),0,2018
Mynewcar.In,Gurgaon,Manufacturing,1000000,2018
Halaplay Technologies,Bengaluru,Media and Entertainment,5000000,2018
Planetspark,Gurgaon,Education,233600,2018
Wheelsemi,Pune,Other,14000000,2018
Forum For Innovation Incubation Research And Entrepreneurship,Margão,Banking and Financial Services,1496500,2018
Oyo,Gurgaon,Events and Hospitality,100000000,2018
Quikr,Bengaluru,Media and Entertainment,8030000,2018
Tabono,Gurgaon,Healthcare and Fitness,0,2018
Learnapp,Noida,Banking and Financial Services,292000,2018
Shopkirana,Indore,E-Commerce and Retail,2000000,2018
Fric Bergen,Alwar,Other,0,2018
Articbot,Kannur,Information Technology (IT),17520,2018
Buildsupply,Gurgaon,Information Technology (IT),3650000,2018
Fusion Microfinance,Delhi,Banking and Financial Services,75920000,2018
Any Time Doctor,Chennai,Information Technology (IT),0,2018
Go Payments,Mumbai,Information Technology (IT),0,2018
Guiddoo World,Mumbai,Media and Entertainment,800000,2018
Ion Energy,Mumbai,Other,1041000,2018
Unotag,Bengaluru,Information Technology (IT),100000,2018
Civilcops,Gurgaon,Social Development,100000,2018
Rockmetric,Mumbai,Information Technology (IT),0,2018
Classworks India,Chennai,Other,1460,2018
Snapmint,Mumbai,Banking and Financial Services,0,2018
Artbandhu,Bengaluru,Media and Entertainment,15000,2018
Survaider,Bengaluru,Information Technology (IT),500000,2018
Credy,Bengaluru,Banking and Financial Services,1400000,2018
Ichamp,Gurgaon,Education,5000000,2018
Qandle,Gurgaon,Information Technology (IT),1200000,2018
Avishkaar Box,Delhi,Career and Personal Development,730000,2018
Gegadyne Energy,Mumbai,Manufacturing,0,2018
Hyperxchange,Pune,E-Commerce and Retail,1000000,2018
Deftouch,Bengaluru,Other,0,2018
Doodhwala,Bengaluru,Agriculture and Food Production,2200000,2018
Dronahq,Mumbai,Information Technology (IT),500000,2018
Fastfox,Gurgaon,E-Commerce and Retail,1460000,2018
Buyforexonline,Bengaluru,Transportation and Tourism,2000000,2018
Colive.In,Bengaluru,E-Commerce and Retail,1800000,2018
Agricxlab Private Limited,Thane,E-Commerce and Retail,500000,2018
Corefactors,Bengaluru,Other,0,2018
Fincash.Com,Mumbai,Banking and Financial Services,150000,2018
Pandorum Technologies,Bengaluru,Information Technology (IT),3600000,2018
Shirsa Labs,Mumbai,Other,500000,2018
Petsutra,Gurgaon,Agriculture and Food Production,138700,2018
Awaaz De,Ahmedabad,Information Technology (IT),0,2018
Pinkblue,Bengaluru,Healthcare and Fitness,300000,2018
Eduvanz,Mumbai,Banking and Financial Services,500000,2018
Rupeek,Bengaluru,Banking and Financial Services,6830000,2018
Backpacker Panda Holidays Private Limited,Pune,Transportation and Tourism,1400000,2018
Shape (School Health And Physical Education),Pune,Other,200000,2018
Placio,Noida,Events and Hospitality,2000000,2018
Aviom India Housing Finance,Delhi,Banking and Financial Services,2190000,2018
Genrobotic,Trivandrum,E-Commerce and Retail,0,2018
Heyholidays,Bengaluru,Transportation and Tourism,1000000,2018
Pratilipi,Bengaluru,Media and Entertainment,4300000,2018
Sectorqube,Ernakulam,Information Technology (IT),0,2018
Food Memories,Ahmedabad,Agriculture and Food Production,0,2018
Zamroo,Unknown,Information Technology (IT),0,2018
Silversparro Technologies Pvt. Ltd,Gurgaon,Information Technology (IT),300000,2018
Creator’S Gurukul,Gurgaon,Career and Personal Development,0,2018
Emflux Motors,Bengaluru,Manufacturing,364846,2018
Tricog Health Services Pvt Ltd,Bengaluru,Healthcare and Fitness,4000000,2018
Scapic,Bengaluru,Information Technology (IT),500000,2018
6Degree,Mumbai,Fashion and Beauty,400000,2018
Chrysalis (Ez Vidya),Chennai,Other,0,2018
Ekincare,Hyderabad,Healthcare and Fitness,1500000,2018
Streo,Gurgaon,Media and Entertainment,0,2018
Groww,Kormangala,Banking and Financial Services,120000,2018
Cell Propulsion,Bengaluru,Other,102200,2018
Chezuba,Hyderabad,Information Technology (IT),20440,2018
Ontrack Technologies Pvt. Ltd,Bengaluru,E-Commerce and Retail,0,2018
Wealthtrust,Mumbai,Banking and Financial Services,500000,2018
Faclon Labs,Mumbai,Information Technology (IT),0,2018
Awign Enterprises,Bengaluru,E-Commerce and Retail,730000,2018
Collpoll,Bengaluru,Other,0,2018
Zyla Health,Delhi,Healthcare and Fitness,0,2018
Hubhopper,Delhi,Information Technology (IT),500000,2018
Rubix108 Technologies,Pune,Information Technology (IT),1000000,2018
Workflexi,Bengaluru,Career and Personal Development,146000,2018
Streak,Bengaluru,Banking and Financial Services,328500,2018
Kuants,Gurgaon,Banking and Financial Services,73000,2018
Niyo Solutions,Bengaluru,Banking and Financial Services,13200000,2018
Hippo Video,Chennai,Career and Personal Development,0,2018
Satvacart,Gurgaon,E-Commerce and Retail,0,2018
Daaki,Bengaluru,Healthcare and Fitness,0,2018
Simulanis,Delhi,Career and Personal Development,500000,2018
My Chiraag Cab,Jaipur,Transportation and Tourism,1000000,2018
Wotu,Bengaluru,Agriculture and Food Production,0,2018
Flathalt,Gurgaon,Other,50000,2018
True Elements,Pune,Healthcare and Fitness,730000,2018
Trendlyne Technologies,Bengaluru,Banking and Financial Services,200000,2018
Planys Technologies,Chennai,Other,2046920,2018
Healthplix,Bengaluru,Healthcare and Fitness,3000000,2018
Dishq,Bengaluru,Other,400000,2018
Entropik Technology,Bengaluru,Information Technology (IT),1100000,2018
Myhq,Delhi,Career and Personal Development,500000,2018
Trell,Bengaluru,Other,1250000,2018
Kidovators (By Gyanlab),Bengaluru,Other,180000,2018
Log 9 Materials,Uttar Pradesh,Information Technology (IT),438000,2018
Vtion,Gurgaon,Information Technology (IT),280320,2018
Housingman.Com,Bengaluru,Other,1503800,2018
Steradian Semiconductors,Bengaluru,Other,0,2018
Rupeecircle,Mumbai,Banking and Financial Services,584000,2018
Wooden Street,Jaipur,E-Commerce and Retail,1000000,2018
The Ken,Bengaluru,Media and Entertainment,1500000,2018
Saffronstays,Mumbai,Other,2000000,2018
Vebbler,Bengaluru,Information Technology (IT),0,2018
Foyr,Pune,Career and Personal Development,4200000,2018
Mengage,Jaipur,Healthcare and Fitness,175000,2018
Inner Being Wellness,Hyderabad,Other,511000,2018
Kobster,Chennai,E-Commerce and Retail,0,2018
Wishberry,Mumbai,Banking and Financial Services,1460000,2018
Mcxtra,Andheri,Banking and Financial Services,1300000,2018
Magic Crate,Bengaluru,Career and Personal Development,0,2018
Smartvizx,Noida,Information Technology (IT),1450000,2018
Myseodoc,Delhi,Other,0,2018
Enlyft Digital Solutions Private Limited,Pune,Other,2920,2018
Scale Labs,Delhi,Other,1000000,2018
Hungerbox,Bengaluru,E-Commerce and Retail,4500000,2018
Biryani By Kilo,Noida,E-Commerce and Retail,1000000,2018
Wholesome Habits (Eat Anytime),Mumbai,Agriculture and Food Production,500000,2018
Gobumpr,Mylapore,Manufacturing,600000,2018
Fixpocket,Ahmedabad,Information Technology (IT),250000,2018
Edureka!,Bengaluru,Information Technology (IT),2000000,2018
Hashtag Loyalty Private Limited,Mumbai,Information Technology (IT),0,2018
Wow Express,Mumbai,Transportation and Tourism,4500000,2018
Zunroof,Gurgaon,Water and Environment,242360,2018
Eggoz,Indore,Agriculture and Food Production,175200,2018
Sqrrl Fintech,Gurgaon,Other,1000000,2018
Galaxycard,Noida,Banking and Financial Services,0,2018
Indiqube,Bengaluru,E-Commerce and Retail,15000000,2018
Egk Foods,Mumbai,Agriculture and Food Production,292000,2018
Nirogstreet,Gurgaon,Information Technology (IT),300000,2018
Pixr8,Ghaziabad,Media and Entertainment,50000,2018
Nivesh.Com,Noida,Banking and Financial Services,438000,2018
Theranosis Life Sciences,Hyderabad,Information Technology (IT),0,2018
Poshmiles Online Solutions Private Limited,Bengaluru,Transportation and Tourism,0,2018
Reculta,Noida,Other,0,2018
Orbo.Ai,Mumbai,Information Technology (IT),0,2018
Inntot Technologies,Kochi,Information Technology (IT),0,2018
Zoctr Health,Powai,Information Technology (IT),0,2018
Hey Deedee,Mumbai,Transportation and Tourism,481800,2018
Digiconnectt Technologys,Bengaluru,Information Technology (IT),125000,2018
Locus.Sh,Bengaluru,Other,4000000,2018
Sports Flashes Pvt. Ltd,Delhi,Healthcare and Fitness,1000000,2018
Inc42,Delhi,Other,0,2018
Picxy,Guntur,Information Technology (IT),130000,2018
Huddle,Haryana,Career and Personal Development,300000,2018
Benepik,Gurgaon,Career and Personal Development,0,2018
Cash Suvidha,Delhi,Banking and Financial Services,1000000,2018
Smartcoin,Bengaluru,Other,2000000,2018
Carmel Organics,Indore,Other,0,2018
Roadcast,Delhi,Other,250000,2018
Printline Media(Theprint),Delhi,Media and Entertainment,509540,2018
Creditas Solutions,Gurgaon,Banking and Financial Services,0,2018
Urbanpiper,Bengaluru,Information Technology (IT),0,2018
Doxper,Mumbai,Healthcare and Fitness,1051200,2018
I2Ifunding,Noida,Banking and Financial Services,730000,2018
Shakedeal,Bengaluru,E-Commerce and Retail,0,2018
Helloverify,Noida,Information Technology (IT),0,2018
Fasal,Bengaluru,Other,120000,2018
Coingeto,Delhi,Blockchain,1752000,2018
Avail Finance,Bengaluru,Banking and Financial Services,17200000,2018
Tripeur,Bengaluru,Information Technology (IT),600000,2018
Wedeterna,Bengaluru,Events and Hospitality,0,2018
Stumagz,Hyderabad,Media and Entertainment,0,2018
Doubtnut,Gurgaon,Education,511000,2018
Mcaffeine,Mumbai,E-Commerce and Retail,467200,2018
Trustcheckr,Bengaluru,Information Technology (IT),100000,2018
Healthassure,Mumbai,Healthcare and Fitness,1000000,2018
Picture Time,Delhi,Media and Entertainment,3650000,2018
1Crowd,Mumbai,Banking and Financial Services,3500000,2018
Aarav Unmanned Systems,Bengaluru,Transportation and Tourism,0,2018
Wellthy Therapeutics Pvt Ltd,Mumbai,Healthcare and Fitness,1971000,2018
Nua,Mumbai,E-Commerce and Retail,0,2018
Kuvera.In,Bengaluru,Banking and Financial Services,250000,2018
Livehealth,Pune,Healthcare and Fitness,1100000,2018
Gramophone,Indore,Agriculture and Food Production,1000000,2018
Ora,Kolkata,Transportation and Tourism,0,2018
Buddy4Study.Com,Noida,Career and Personal Development,3000000,2018
Predible Health,Bengaluru,Healthcare and Fitness,0,2018
Syncremedies Healthcare Pvt Ltd,Bengaluru,Healthcare and Fitness,0,2018
Blueleaf Cyberspace Systems,Bengaluru,Information Technology (IT),0,2018
Toffee,Gurgaon,Other,1500000,2018
Oro Wealth,Mumbai,Other,1600000,2018
Healwell24,Mumbai,Healthcare and Fitness,200000,2018
Acko General Insurance,Mumbai,Banking and Financial Services,12000000,2018
Arzooo.Com,Bengaluru,Information Technology (IT),219000,2018
Bonphul Air Products,Delhi,Information Technology (IT),292000,2018
Dheeyantra Research Labs,Bengaluru,Information Technology (IT),0,2018
Edyoo,Bengaluru,Other,1000000,2018
Chtrbox,Mumbai,Media and Entertainment,146000,2018
Aashiyaan Housing And Development Finance,Kolkata,Banking and Financial Services,1971000,2018
Betterplace Safety Solutions Pvt. Ltd.,Bengaluru,Career and Personal Development,3000000,2018
Cashkumar,Bengaluru,Banking and Financial Services,730000,2018
Rocketium,Bengaluru,E-Commerce and Retail,292000,2018
Freightbazaar,Hyderabad,Transportation and Tourism,0,2018
Open,Bengaluru,Banking and Financial Services,0,2018
Mfine,Bengaluru,Healthcare and Fitness,4200000,2018
Earth Food,Pune,Agriculture and Food Production,934400,2018
Charcoal Eats,Mumbai,Agriculture and Food Production,730000,2018
Wishfie,Bengaluru,Information Technology (IT),0,2018
The Social Hook,Bengaluru,E-Commerce and Retail,0,2018
Freightbro,Mumbai,Information Technology (IT),0,2018
Finwego,Chennai,Other,0,2018
Cricnwin,Gurgaon,Media and Entertainment,0,2018
Wicked Ride Adventure Services Private Limited,Bengaluru,Manufacturing,10000000,2018
Career Anna,Bengaluru,E-Commerce and Retail,584000,2018
Eruditus Executive Education,Mumbai,Other,40000000,2018
Gaia Smart Cities,Mumbai,Information Technology (IT),0,2018
Square Off,Mumbai,Information Technology (IT),1100000,2018
Urbanclap,Delhi,Information Technology (IT),50000000,2018
Hospals,Delhi,Healthcare and Fitness,1500000,2018
Kogta Financial India Limited,Jaipur,Banking and Financial Services,22484000,2018
Perspectico,Delhi,Career and Personal Development,0,2018
The Souled Store,Mumbai,Fashion and Beauty,3000000,2018
Hush - Speak Up. Make Work Better,Bengaluru,Social Development,657000,2018
Drivezy,Bengaluru,Manufacturing,100000000,2018
Freyr Energy,Hyderabad,Other,1500000,2018
Niramai Health Analytix,Bengaluru,Healthcare and Fitness,6000000,2018
Cloudsek,Bengaluru,Information Technology (IT),2044000,2018
Lendbox,Delhi,Banking and Financial Services,876000,2018
Verloop,Bengaluru,Career and Personal Development,3000000,2018
Flickstree,Mumbai,Media and Entertainment,0,2018
Paymatrix,Hyderabad,Banking and Financial Services,100000,2018
Idha Skin Clinic,Bengaluru,Fashion and Beauty,73000,2018
Incred,Mumbai,Banking and Financial Services,41900000,2018
Vedantu,Bengaluru,Education,11000000,2018
Sportido,Noida,Media and Entertainment,0,2018
Stelis Biopharma,Bengaluru,Healthcare and Fitness,100000000,2018
Magicpin,Gurgaon,E-Commerce and Retail,20586000,2018
Try & Buy,Delhi,E-Commerce and Retail,0,2018
Mech Mocha,Bengaluru,Media and Entertainment,3530000,2018
Aye Finance,Gurgaon,Banking and Financial Services,1051200,2018
Aldopay,Chennai,Banking and Financial Services,200000,2018
Detect Technologies,Chennai,Information Technology (IT),3300000,2018
Signzy,Bengaluru,Information Technology (IT),3504000,2018
Cashrich,Mumbai,Information Technology (IT),1000000,2018
Cloudnine Hospitals,Bengaluru,Healthcare and Fitness,0,2018
Cropin Technologies,Bengaluru,Other,8468000,2018
Billdesk,Ahmedabad,Banking and Financial Services,0,2018
Yaantra,Delhi,Information Technology (IT),2000000,2018
Techbooze,Delhi,Other,100000,2018
Healthifyme,Bengaluru,Information Technology (IT),6000000,2018
Hoi Foods,Gurgaon,Agriculture and Food Production,525600,2018
Perpule,Bengaluru,Information Technology (IT),4964000,2018
Royal Sundaram General Insurance Co. Limited,Kalpakkam,Healthcare and Fitness,210000000,2018
Cleansecar,Bengaluru,Manufacturing,511000,2018
Driveu,Bengaluru,E-Commerce and Retail,1022000,2018
Spinny,Gurgaon,E-Commerce and Retail,11000000,2018
Asset Reconstruction Company (India) Ltd.,Mumbai,Banking and Financial Services,0,2018
Med365 Healthcare,Jaipur,Healthcare and Fitness,730000,2018
Dunzo,Bengaluru,Career and Personal Development,1022000,2018
Mobile Premier League (Mpl),Bengaluru,Media and Entertainment,5000000,2018
Walmart India,Gurgaon,E-Commerce and Retail,37680000,2018
Cred,Bengaluru,Other,0,2018
Meesho,Bengaluru,E-Commerce and Retail,50000000,2018
Bhaskarguru,Bhopal,Information Technology (IT),1000000,2018
Gugu,Coimbatore,Manufacturing,250000,2018
Farmtaaza,Bengaluru,Other,0,2018
Vizzbee,Bhopal,Information Technology (IT),20000,2018
Bigphi Technologies Pvt. Ltd.,Bengaluru,Fashion and Beauty,900000,2018
Mobycy,Gurgaon,Healthcare and Fitness,0,2018
Traveo Soft Pvt. Ltd.,Bengaluru,Information Technology (IT),17520,2018
Em Personal Care,Worli,Fashion and Beauty,0,2018
Lucideus,Delhi,Career and Personal Development,5000000,2018
Eupheus Learning,Delhi,Education,0,2018
Gamingmonk,Delhi,Healthcare and Fitness,584000,2018
Sukkhi Jewellery,Mumbai,Fashion and Beauty,7446000,2018
Indwealth,Gurgaon,Banking and Financial Services,32120000,2018
Medikabazaar,Mumbai,E-Commerce and Retail,5000000,2018
Nira,Bengaluru,Banking and Financial Services,1000000,2018
Duroflex Pvt. Ltd.,Alleppey,E-Commerce and Retail,22000000,2018
Clensta,Delhi,Information Technology (IT),0,2018
Jetbrain Robotics,Gurgaon,Healthcare and Fitness,70000,2018
Medimetry,Haryana,Healthcare and Fitness,0,2018
Healthkart,Gurgaon,E-Commerce and Retail,10000000,2018
Indiabulls Ventures,Mumbai,Banking and Financial Services,224723200,2018
Vistara,Haryana,Transportation and Tourism,292000000,2018
Cleartax,Delhi,Banking and Financial Services,58400000,2018
Shuttl,Gurgaon,Information Technology (IT),1000000,2018
Guruq,Delhi,Media and Entertainment,365000,2018
Azure Power,Delhi,Other,185000000,2018
Cube,Mumbai,Banking and Financial Services,2044000,2018
Rahi Care,Chandigarh,Healthcare and Fitness,0,2018
Mynvax,Bengaluru,Information Technology (IT),0,2018
Loans4Sme,Mumbai,Banking and Financial Services,0,2018
Upcyclerslab,Mumbai,Information Technology (IT),0,2018
Cellerite Systems,Hyderabad,Manufacturing,0,2018
Taru Naturals,Mumbai,Other,0,2018
Letsmd,Delhi,Healthcare and Fitness,1000000,2018
Twenty Two Motors,Haryana,Manufacturing,65000000,2018
Truebil,Mumbai,Manufacturing,2000000,2018
Farmersfz,Kochi,Other,0,2018
Worxogo,Bengaluru,Information Technology (IT),2409000,2018
Vivish Technologies (Mygate),Bengaluru,Information Technology (IT),9490000,2018
Singularity Dynamics,Bengaluru,Information Technology (IT),0,2018
Virtual Metalstreet(Metalstreet),Bengaluru,E-Commerce and Retail,700000,2018
Veritas Finance,Guindy,Banking and Financial Services,30000000,2018
Manjushree Technopack,Bengaluru,Manufacturing,0,2018
Gozefo,Bengaluru,Information Technology (IT),3066000,2018
Zomato,Gurgaon,Agriculture and Food Production,210000000,2018
Innov8 Coworking,Delhi,Career and Personal Development,4000000,2018
Revfin,Delhi,Banking and Financial Services,0,2018
Lavelle Networks,Bengaluru,Information Technology (IT),292000,2018
Blackbuck,Bengaluru,Information Technology (IT),29632160,2018
Cardekho,Gurgaon,Manufacturing,75000000,2018
Elasticrun,Pune,Transportation and Tourism,8760000,2018
Droom Technology Private Limited,Gurgaon,Manufacturing,30000000,2018
Vogo Rentals,Kormangala,Transportation and Tourism,1168000,2018
Innerchef,Gurgaon,Agriculture and Food Production,1760000,2018
Livquik,Mumbai,Banking and Financial Services,2700000,2018
Disprz,Chennai,Education,400000,2018
9Stacks,Delhi,Media and Entertainment,4088000,2018
Origo,Gurgaon,Other,11680000,2018
Yourownroom,Bengaluru,Information Technology (IT),750000,2018
Vahdam Teas,Delhi,E-Commerce and Retail,2500000,2018
Spoofin,Delhi,Other,0,2018
Strom Motors,Mumbai,Manufacturing,0,2018
Pharmeasy,Mumbai,Healthcare and Fitness,80000000,2018
Licious,Bengaluru,Transportation and Tourism,25000000,2018
Stanza Living,Delhi,Events and Hospitality,10658000,2018
Docturnal,Hyderabad,Information Technology (IT),0,2018
Bounce (Metro Bikes),Bengaluru,Manufacturing,3000000,2018
Technology 9 Labs (T9L),Delhi,Information Technology (IT),0,2018
Goals101,Delhi,Banking and Financial Services,3500000,2018
Satya Microcapital,Delhi,Banking and Financial Services,5840000,2018
Ummeed Housing Finance Private Limited,Haryana,Banking and Financial Services,8760000,2018
Stockedge,Kolkata,Information Technology (IT),1100000,2018
Sequretek,Mumbai,Other,3700000,2018
Avenues Payments India Pvt. Ltd.,Mumbai,Other,1300000,2018
Qbera,Bengaluru,Banking and Financial Services,2044000,2018
Urban Ladder,Bengaluru,E-Commerce and Retail,5600000,2018
Planet11 Ecommerce Solutions India (Avenue11),Bengaluru,Other,3796000,2018
Dailyninja,Bengaluru,Information Technology (IT),0,2018
Iba Halal Care,Ahmedabad,Other,2190000,2018
Knocksense,Lucknow,Information Technology (IT),0,2018
Togedr,Gurgaon,Other,0,2018
Parkwheels,Haryana,Manufacturing,175200,2018
Sharechat,Bengaluru,Information Technology (IT),99230000,2018
Cyclops Medtech,Bengaluru,Healthcare and Fitness,1000000,2018
Livspace,Bengaluru,E-Commerce and Retail,70000000,2018
Newsbytes,Gurgaon,Information Technology (IT),1000000,2018
